date,level,free_credit_cash,free_credit_margin
1959-01,3452.0,,1226.0
1959-02,3410.0,,1196.0
1959-03,3458.0,,1257.0
1959-04,3567.0,,1205.0
1959-05,3549.0,,1188.0
1959-06,3546.0,,1094.0
1959-07,3528.0,,1079.0
1959-08,3424.0,,1035.0
1959-09,3406.0,,1039.0
1959-10,3378.0,,966.0
1959-11,3438.0,,974.0
1959-12,3430.0,,996.0
1960-01,3333.0,,998.0
1960-02,3267.0,,981.0
1960-03,3145.0,,988.0
1960-04,3150.0,,940.0
1960-05,3151.0,,970.0
1960-06,3188.0,,1016.0
1960-07,3113.0,,1018.0
1960-08,3220.0,,1021.0
1960-09,3259.0,,1059.0
1960-10,3243.0,,1063.0
1960-11,3240.0,,1062.0
1960-12,3317.0,,1135.0
1961-01,3330.0,,1269.0
1961-02,3426.0,,1392.0
1961-03,3656.0,,1507.0
1961-04,3986.0,,1508.0
1961-05,4100.0,,1453.0
1961-06,4076.0,,1283.0
1961-07,4041.0,,1207.0
1961-08,4021.0,,1208.0
1961-09,4037.0,,1227.0
1961-10,4072.0,,1214.0
1961-11,4180.0,,1213.0
1961-12,4294.0,,1219.0
1962-01,4145.0,,1225.0
1962-02,4100.0,,1190.0
1962-03,4117.0,,1154.0
1962-04,4115.0,,1110.0
1962-05,4034.0,,1205.0
1962-06,3637.0,,1374.0
1962-07,3592.0,,1252.0
1962-08,3796.0,,1130.0
1962-09,3914.0,,1091.0
1962-10,3889.0,,1126.0
1962-11,3975.0,,1151.0
1962-12,4149.0,,1216.0
1963-01,4236.0,,1199.0
1963-02,4355.0,,1191.0
1963-03,4358.0,,1175.0
1963-04,4551.0,,1199.0
1963-05,4760.0,,1164.0
1963-06,4930.0,,1149.0
1963-07,4920.0,,1126.0
1963-08,5057.0,,1093.0
1963-09,5356.0,,1180.0
1963-10,5524.0,,1176.0
1963-11,5621.0,,1211.0
1963-12,5541.0,,1210.0
1964-01,5546.0,,1262.0
1964-02,5405.0,,1199.0
1964-03,5387.0,,1231.0
1964-04,5531.0,,1165.0
1964-05,5458.0,,1138.0
1964-06,5388.0,,1146.0
1964-07,5314.0,,1114.0
1964-08,5207.0,,1077.0
1964-09,5241.0,,1145.0
1964-10,5205.0,,1155.0
1964-11,5181.0,,1131.0
1964-12,5101.0,,1169.0
1965-01,5019.0,,1207.0
1965-02,5038.0,,1254.0
1965-03,5085.0,,1264.0
1965-04,5096.0,,1207.0
1965-05,5154.0,,1208.0
1965-06,5139.0,,1297.0
1965-07,4887.0,,1233.0
1965-08,4908.0,,1192.0
1965-09,5016.0,,1369.0
1965-10,5096.0,,1475.0
1965-11,5232.0,,1479.0
1965-12,5543.0,,1666.0
1966-01,5020.0,,
1966-02,5110.0,,
1966-03,5120.0,,
1966-04,5270.0,,
1966-05,5070.0,,
1966-06,5310.0,,
1966-07,5180.0,,
1966-08,5060.0,,
1966-09,5020.0,,
1966-10,4950.0,,
1966-11,4950.0,,
1966-12,4910.0,,
1967-01,4810.0,,640.0
1967-02,4870.0,,670.0
1967-03,5010.0,,620.0
1967-04,5090.0,,670.0
1967-05,5160.0,,760.0
1967-06,5360.0,,710.0
1967-07,5490.0,,720.0
1967-08,5620.0,,700.0
1967-09,5810.0,,740.0
1967-10,6020.0,,810.0
1967-11,6090.0,,840.0
1967-12,6310.0,,910.0
1968-01,6150.0,,950.0
1968-02,6150.0,,990.0
1968-03,6190.0,,980.0
1968-04,6430.0,,990.0
1968-05,6640.0,,990.0
1968-06,6690.0,,1000.0
1968-07,6510.0,,1060.0
1968-08,6430.0,,980.0
1968-09,6380.0,,990.0
1968-10,6240.0,,1040.0
1968-11,6200.0,,1080.0
1968-12,6220.0,,1150.0
1969-01,5930.0,,1130.0
1969-02,5750.0,,1190.0
1969-03,5600.0,,1140.0
1969-04,5570.0,,950.0
1969-05,5670.0,,890.0
1969-06,5340.0,,880.0
1969-07,5170.0,,850.0
1969-08,5000.0,,790.0
1969-09,4940.0,,790.0
1969-10,5040.0,,750.0
1969-11,5070.0,,740.0
1969-12,4970.0,,790.0
1970-01,4680.0,,750.0
1970-02,4570.0,,670.0
1970-03,4520.0,,660.0
1970-04,4360.0,,690.0
1970-05,4160.0,,700.0
1970-06,3850.0,,516.0
1970-07,3780.0,,486.0
1970-08,3800.0,,455.0
1970-09,3910.0,,456.0
1970-10,3990.0,,439.0
1970-11,4000.0,,405.0
1970-12,4010.0,,380.0
1971-01,3990.0,,430.0
1971-02,4090.0,,485.0
1971-03,4300.0,,465.0
1971-04,4530.0,,445.0
1971-05,4620.0,,430.0
1971-06,4720.0,,415.0
1971-07,4790.0,,410.0
1971-08,4850.0,,405.0
1971-09,4930.0,,365.0
1971-10,4950.0,,395.0
1971-11,4910.0,,410.0
1971-12,5400.0,,390.0
1972-01,5700.0,,450.0
1972-02,6180.0,,435.0
1972-03,6620.0,,440.0
1972-04,7010.0,,435.0
1972-05,7200.0,,405.0
1972-06,7510.0,,385.0
1972-07,7660.0,,405.0
1972-08,7780.0,,385.0
1972-09,7800.0,,380.0
1972-10,7800.0,,390.0
1972-11,7890.0,,390.0
1972-12,7900.0,,415.0
1973-01,7700.0,,415.0
1973-02,7500.0,,430.0
1973-03,7200.0,,440.0
1973-04,7040.0,,390.0
1973-05,6540.0,,415.0
1973-06,6180.0,,395.0
1973-07,6010.0,,380.0
1973-08,5830.0,,350.0
1973-09,5730.0,,380.0
1973-10,5690.0,,420.0
1973-11,5460.0,,465.0
1973-12,5050.0,,455.0
1974-01,5210.0,,445.0
1974-02,5310.0,,420.0
1974-03,5420.0,,425.0
1974-04,5450.0,,410.0
1974-05,5260.0,,395.0
1974-06,5160.0,,395.0
1974-07,4840.0,,405.0
1974-08,4590.0,,430.0
1974-09,4090.0,,440.0
1974-10,4000.0,,430.0
1974-11,4040.0,,410.0
1974-12,3910.0,,410.0
1975-01,3950.0,,410.0
1975-02,4130.0,,480.0
1975-03,4180.0,,515.0
1975-04,4360.0,,505.0
1975-05,4700.0,,520.0
1975-06,4990.0,,520.0
1975-07,5330.0,,555.0
1975-08,5220.0,,515.0
1975-09,5250.0,,505.0
1975-10,5300.0,,545.0
1975-11,5370.0,,490.0
1975-12,5390.0,,475.0
1976-01,5420.0,,655.0
1976-02,5950.0,,685.0
1976-03,6410.0,,595.0
1976-04,6690.0,,570.0
1976-05,6940.0,,540.0
1976-06,7080.0,,540.0
1976-07,7340.0,,530.0
1976-08,7450.0,,555.0
1976-09,7530.0,,555.0
1976-10,7530.0,,610.0
1976-11,7610.0,,615.0
1976-12,7960.0,,585.0
1977-01,8270.0,,645.0
1977-02,8480.0,,605.0
1977-03,8690.0,,605.0
1977-04,8880.0,,615.0
1977-05,9070.0,,625.0
1977-06,9230.0,,595.0
1977-07,9460.0,,600.0
1977-08,9560.0,,605.0
1977-09,9590.0,,600.0
1977-10,9560.0,,615.0
1977-11,9610.0,,630.0
1977-12,9740.0,,640.0
1978-01,9590.0,,660.0
1978-02,9780.0,,635.0
1978-03,9920.0,,630.0
1978-04,10260.0,,715.0
1978-05,10660.0,,755.0
1978-06,11090.0,,700.0
1978-07,11190.0,,710.0
1978-08,11740.0,,795.0
1978-09,12400.0,,825.0
1978-10,12090.0,,885.0
1978-11,11000.0,,790.0
1978-12,10830.0,,835.0
1979-01,10750.0,,810.0
1979-02,10790.0,,775.0
1979-03,10870.0,,830.0
1979-04,11220.0,,835.0
1979-05,11130.0,,840.0
1979-06,11590.0,,895.0
1979-07,11840.0,,885.0
1979-08,12060.0,,910.0
1979-09,12000.0,,960.0
1979-10,11310.0,,950.0
1979-11,10920.0,,955.0
1979-12,11450.0,,1105.0
1980-01,11820.0,,1180.0
1980-02,12460.0,,1320.0
1980-03,11740.0,,1365.0
1980-04,11140.0,,1290.0
1980-05,11270.0,,1270.0
1980-06,11200.0,,1345.0
1980-07,11320.0,,1665.0
1980-08,11800.0,,1695.0
1980-09,12520.0,,1850.0
1980-10,13080.0,,1950.0
1980-11,14140.0,,2115.0
1980-12,14500.0,,2105.0
1981-01,14020.0,,2065.0
1981-02,13950.0,,2225.0
1981-03,14020.0,,2340.0
1981-04,14630.0,,2270.0
1981-05,14700.0,,2345.0
1981-06,14880.0,,2350.0
1981-07,14890.0,,2675.0
1981-08,14310.0,,2645.0
1981-09,13760.0,,2940.0
1981-10,13660.0,,2990.0
1981-11,13860.0,,3290.0
1981-12,14150.0,,3515.0
1982-01,13190.0,,3455.0
1982-02,12770.0,,3755.0
1982-03,11840.0,,3895.0
1982-04,11950.0,,4145.0
1982-05,11990.0,,4175.0
1982-06,11540.0,,4215.0
1982-07,11470.0,,4410.0
1982-08,11150.0,,4770.0
1982-09,10950.0,,4990.0
1982-10,11450.0,,5520.0
1982-11,12170.0,,5600.0
1982-12,12980.0,,5735.0
1983-01,13070.0,,6255.0
1983-02,13680.0,,6195.0
1983-03,14170.0,,6370.0
1983-04,15260.0,,6090.0
1983-05,16370.0,,6090.0
1983-06,17930.0,,6150.0
1983-07,18870.0,,6275.0
1983-08,19090.0,,6350.0
1983-09,19760.0,,6550.0
1983-10,20690.0,,6630.0
1983-11,21790.0,,6515.0
1983-12,22720.0,,6620.0
1984-01,22870.0,,6510.0
1984-02,22330.0,,6420.0
1984-03,22460.0,,6520.0
1984-04,22830.0,,6450.0
1984-05,22360.0,,6685.0
1984-06,23450.0,,6430.0
1984-07,22980.0,,6430.0
1984-08,22810.0,,6855.0
1984-09,22800.0,,6690.0
1984-10,22330.0,,6580.0
1984-11,22350.0,,6700.0
1984-12,22470.0,,7015.0
1985-01,22090.0,,1695.0
1985-02,22970.0,,1670.0
1985-03,23230.0,,1755.0
1985-04,23900.0,,1790.0
1985-05,24300.0,,1780.0
1985-06,25260.0,,2215.0
1985-07,25220.0,,1950.0
1985-08,25780.0,,1810.0
1985-09,25330.0,,1745.0
1985-10,26350.0,,1715.0
1985-11,26640.0,,2080.0
1985-12,28390.0,,2715.0
1986-01,26810.0,,2645.0
1986-02,27450.0,,2545.0
1986-03,29090.0,,2715.0
1986-04,30760.0,,3065.0
1986-05,32370.0,,2405.0
1986-06,32480.0,,2585.0
1986-07,33170.0,,2570.0
1986-08,34550.0,,3035.0
1986-09,34580.0,,3395.0
1986-10,36310.0,,3805.0
1986-11,37090.0,,3765.0
1986-12,36840.0,,4880.0
1987-01,34960.0,,5060.0
1987-02,35740.0,,4470.0
1987-03,38080.0,,4730.0
1987-04,39820.0,,4660.0
1987-05,38890.0,,4335.0
1987-06,38420.0,,3680.0
1987-07,40250.0,,4095.0
1987-08,41640.0,,4240.0
1987-09,44170.0,,4270.0
1987-10,38250.0,,8415.0
1987-11,34180.0,,6700.0
1987-12,31990.0,,4750.0
1988-01,31320.0,,4675.0
1988-02,31990.0,,4555.0
1988-03,32660.0,,4615.0
1988-04,33270.0,,4395.0
1988-05,33070.0,,4380.0
1988-06,32300.0,,4580.0
1988-07,31770.0,,4485.0
1988-08,31930.0,,4665.0
1988-09,32770.0,,4725.0
1988-10,33410.0,,5065.0
1988-11,33640.0,,4920.0
1988-12,32740.0,,5660.0
1989-01,32530.0,,5790.0
1989-02,31480.0,,5605.0
1989-03,32130.0,,5345.0
1989-04,32610.0,,5450.0
1989-05,33140.0,,5250.0
1989-06,34730.0,,6900.0
1989-07,34360.0,,5420.0
1989-08,33940.0,,5580.0
1989-09,35020.0,,5680.0
1989-10,35110.0,,6000.0
1989-11,34630.0,,5815.0
1989-12,34320.0,,7040.0
1990-01,32640.0,,6755.0
1990-02,31480.0,,6575.0
1990-03,30760.0,,6525.0
1990-04,31060.0,,6465.0
1990-05,31600.0,,6215.0
1990-06,31720.0,,6490.0
1990-07,32130.0,,6385.0
1990-08,30350.0,,7140.0
1990-09,29640.0,,7285.0
1990-10,28650.0,,7245.0
1990-11,27820.0,,7300.0
1990-12,28320.0,,8050.0
1991-01,27390.0,,7435.0
1991-02,28860.0,,7190.0
1991-03,29660.0,,7320.0
1991-04,30020.0,,6975.0
1991-05,29980.0,,7200.0
1991-06,31280.0,,6690.0
1991-07,30600.0,,6545.0
1991-08,32240.0,,7040.0
1991-09,33170.0,,6950.0
1991-10,33360.0,,6965.0
1991-11,34840.0,,7040.0
1991-12,36660.0,,8290.0
1992-01,36350.0,,7865.0
1992-02,38200.0,,7620.0
1992-03,39090.0,,7350.0
1992-04,38750.0,,8780.0
1992-05,39890.0,,7700.0
1992-06,39690.0,,7780.0
1992-07,39640.0,,7920.0
1992-08,39940.0,,8060.0
1992-09,41250.0,,8060.0
1992-10,41590.0,,8355.0
1992-11,43630.0,,8500.0
1992-12,43990.0,,8970.0
1993-01,61250.0,,12125.0
1993-02,62020.0,,12890.0
1993-03,61960.0,,13185.0
1993-04,60700.0,,13175.0
1993-05,59870.0,,12715.0
1993-06,59550.0,,12340.0
1993-07,61930.0,,12620.0
1993-08,63070.0,,12090.0
1993-09,61630.0,,12415.0
1993-10,62150.0,,12875.0
1993-11,61000.0,,13635.0
1993-12,61160.0,,14095.0
1994-01,61250.0,,12125.0
1994-02,62020.0,,12890.0
1994-03,61960.0,,13185.0
1994-04,60700.0,,13175.0
1994-05,59870.0,,12715.0
